"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Syriac NF X 35","","Work","","","14 ff.","64.2 g","codex","260 x 176 x 5.0 mm","Paper","Syriac","syriac_newfinds","",""
"Sinai Syriac NF X 36","","Work","","","6 ff.","34.8 g","codex","272 x 202 x 2.0 mm","Paper","Syriac","syriac_newfinds","",""
"Sinai Syriac NF X 37","","Work","701/800","8th c.","10 ff.","51.9 g","codex","266 x 192 x 6.0 mm","Paper","Syriac","syriac_newfinds","Rodent damage / FJ: Date cant be correct MS on paper",""
"Sinai Syriac NF X 38","","Work","701/800","8th c.","8 ff.","21.2 g","codex","188 x 130 x 3.0 mm","Paper","Arabic;Syriac","syriac_newfinds","FJ: Date cant be correct MS on paper",""
"Sinai Syriac NF X 40","","Work","","","6 ff.","13.5 g","codex","192 x 142 x 4.0 mm","Paper","Syriac","syriac_newfinds","Rodent damage",""
"Sinai Syriac NF X 41","","Work","1001/1100","11th c.","90 ff.","279.9 g","codex","186 x 143 x 28.0 mm","Paper","Syriac","syriac_newfinds","",""
"Sinai Syriac NF X 42","","Work","","","3 ff.","9.7 g","codex","250 x 168 x 4.0 mm","Paper","Syriac","syriac_newfinds","",""
"Sinai Syriac NF X 43","","Work","","","1 ff.","2.5 g","codex","135 x 120 x 1.0 mm","Paper","Syriac","syriac_newfinds","",""
"Sinai Syriac NF X 44","","Work","901/1000","10th c.","12 ff.","14.7 g","codex","130 x 88 x 4.0 mm","Paper","Arabic;Syriac","syriac_newfinds","Rodent damage",""
"Sinai Syriac NF X 45","","Work","1001/1100","11th c.","4 ff.","5.9 g","codex","130 x 88 x 3.0 mm","Paper","Syriac","syriac_newfinds","",""
